Name,playerid,tot
Erick Fedde,17425,234.60000000000005
Colin Poche,19403,233.5
Jandel Gustave,14665,233.39999999999998
David Bednar,19569,232.89999999999998
Felix Hernandez,4772,231.75000000000003
Francisco Liriano,3201,231.29999999999998
Hector Rondon,2391,231.0
Anthony Kay,20387,228.7999999999999
Nick Wittgren,15594,228.70000000000002
Framber Valdez,17295,227.4
Derek Law,13133,226.7
Oliver Perez,1514,225.8
Alex Reyes,15015,225.10000000000005
Tyler Rogers,15541,224.6
Joseph Palumbo,17035,224.54999999999995
Daniel Hudson,7146,224.39999999999998
Derek Holland,4141,223.85
Michael Feliz,11903,223.40000000000003
Sam Dyson,11710,223.09999999999997
Emmanuel Clase,21032,222.99999999999994
Sam Coonrod,17264,222.8
Jose Cisnero,6399,222.79999999999995
Nick Goody,13685,220.4
Brad Peacock,5401,219.8
Pedro Strop,4070,217.0
Dan Altavilla,16507,216.60000000000002
Adam Morgan,12580,215.7
Oliver Drake,8823,214.7
Jesse Chavez,5448,213.20000000000002
Richard Bleier,7803,212.40000000000003
Lucas Sims,13470,211.6000000000001
John Brebbia,12777,210.9
Chris Devenski,12763,209.29999999999998
Sergio Romo,9817,208.7999999999999
Jose Castillo,17169,205.99999999999997
Brandon Kintzler,9939,205.0
Aaron Sanchez,11490,203.95000000000002
Conner Menez,19199,202.7000000000001
Chad Kuhl,14975,201.80000000000007
Joe Smith,3281,200.40000000000003
Robert Gsellman,13696,197.70000000000002
Touki Toussaint,16929,197.7
Tyler Clippard,5640,196.49999999999997
Steve Cishek,6483,195.50000000000003
Stefan Crichton,16058,195.20000000000002
Evan Marshall,12297,194.9
Jose Alvarado,17780,194.79999999999998
Paul Fry,15832,192.8
Enyel De Los Santos,18403,190.49999999999997
Nate Jones,4696,188.5
Ross Detwiler,2859,187.45000000000005
Matt Bowman,13528,186.70000000000002
Glenn Sparkman,15200,186.55000000000007
Jeff Brigham,16631,185.7
Sam Gaviglio,12778,185.1
Dustin May,19716,184.70000000000002
Ryan Brasier,5615,184.10000000000002
Kelvin Herrera,6033,183.00000000000003
Jimmy Cordero,15690,182.89999999999998
Daniel Mengden,16980,182.50000000000003
Luis Perdomo,14682,182.39999999999998
A.J. Cole,11467,182.35000000000005
Keynan Middleton,15264,182.29999999999995
Clay Holmes,13649,182.1
Jerad Eickhoff,12664,181.79999999999995
Wade Davis,7441,180.9
Yoshihisa Hirano,19756,180.8
Bryan Abreu,16609,180.79999999999998
Taylor Williams,14899,180.39999999999998
Colin Rea,12317,180.39999999999995
Adam Conley,14457,179.89999999999998
Kyle Keller,18890,179.20000000000002
Jeff Hoffman,17432,178.45000000000002
Trey Wingenter,17793,178.3
Ray Black,14244,177.4
Sean Poppen,19583,177.2
Darren O'Day,3321,176.09999999999997
Chris Mazza,14151,175.3
Marcus Walden,8004,175.10000000000002
Ljay Newsome,sa875837,175.00000000000006
Kevin McCarthy,15240,173.99999999999997
James Karinchak,20151,172.79999999999998
Duane Underwood Jr.,14677,172.4
Ranger Suarez,17277,171.70000000000002
Bryan Garcia,19457,171.60000000000002
Miguel Castro,15684,170.40000000000003
Dillon Maples,14672,170.3
Gerardo Reyes,16306,170.10000000000002
Jonathan Loaisiga,19753,170.0
Jared Hughes,9325,169.89999999999998
Brett Martin,17369,169.70000000000002
Anthony Swarzak,7466,169.50000000000003
Matt Harvey,11713,169.35
Fernando Abad,4994,168.40000000000003
Noe Ramirez,12800,168.0
Marco Estrada,1118,167.90000000000003
Cody Stashak,18088,167.70000000000002
Dan Otero,7385,166.99999999999997
Tanner Scott,17586,166.10000000000002
Danny Hultzen,12874,165.5
Gregory Soto,19677,164.90000000000003
Ryan Buchter,9456,164.89999999999998
Luis Garcia,6984,164.4
Bernardo Flores,sa874080,163.69999999999996
Blake Wood,1345,162.79999999999998
Luis Cessa,13345,162.0
Tanner Houck,sa829037,161.60000000000002
Tyler Webb,14974,161.29999999999998
Fernando Rodney,494,160.4
Drew VerHagen,13424,159.8
Zack Littell,15823,159.39999999999998
Matt Wisler,12804,159.39999999999995
